term,counts
matthancock,38039
sinovac,38011
disaster,37802
golf,37529
meet,37314
mortality,37296
sie,37257
deliver,37186
miércoles,37041
attention,37006
hari,36946
district,36811
researchers,36361
ill,36310
tahun,36293
jr,36290
voted,36270
executive,36245
wh,36135
remain,36130
prison,35829
victims,35810
fire,35804
jangan,35647
british,35581
freedom,35544
increasing,35538
sales,35512
pakai,35496
capitol,35438
salir,35173
semua,35009
talks,34949
mother,34831
rumah,34793
masques,34734
supreme,34492
virologist,34421
developed,34382
catch,34363
modiji_postponejeeneet,34253
lockdownextension,34250
120,34063
lockdown2,34049
bleach,34044
election2020,34038
interview,33898
mayores,33708
herman,33641
tonight,33609
beyond,33566
penanganan,33560
exposure,33408
meat,33361
equipment,33314
dominic,33308
jenazah,33265
penularan,33146
epidemic,33121
cloroquina,33080
swamy39,33031
pada,33025
tangan,32980
fears,32852
minutes,32849
presidential,32849
opportunity,32801
alle,32760
persatuan,32662
ir,32583
kebijakan,32389
step,32308
satu,32261
politicians,32206
mesures,32184
covid19pandemic,32143
approval,32002
scotland,31998
memutus,31989
niños,31987
briefings,31858
secret,31848
memorial,31822
diri,31809
suffering,31695
race,31693
outbreaks,31625
delivered,31575
protesting,31528
neet,31477
karma,31425
flotus,31369
warning,31348
announces,31311
prokes,31292
reach,31259
après,31256
adviser,31216
mlb,31164
professional,31122
lt,31122
held,30966
jee,30965
crazy,30786
damage,30733
1802_kimmi,30646
mandate,30432
sido,30419
tally,30416
receiving,30383
36,30283
dar,30223
georgefloyd,30133
brain,30068
dems,30004
copy,29999
signing,29986
review,29920
voor,29869
paul,29837
strong,29804
published,29585
drlimengyan1,29542
ronaldo,29481
santa,29455
maharashtra,29428
için,29397
monde,29366
short,29312
mo,29232
desantis,29231
ah,29173
member,28976
simple,28830
hlgatell,28724
effect,28683
flights,28475
85,28463
mematuhi,28457
retweet,28423
ireland,28315
palliatives,28269
antibodies,28258
allow,28208
if,28165
ccpvirus,28138
giuliani,28119
intentionally,28110
été,28037
bakti,28033
scientific,27983
russian,27929
ayoikutiaturan,27772
confinamiento,27634
birx,27517
ushoparea,27468
nicolasmaduro,27463
polisi_jatim,27455
jab,27352
they,27270
cristiano,27114
eid,26944
rudy,26932
sites,26926
word,26862
verdad,26791
efficacy,26789
covid19uk,26764
offer,26720
sundayvibes,26701
48,26680
dexamethasone,26638
secretary,26526
oil,26423
ba,26394
mes,26375
olsun,26320
medio,26301
poll,26242
pretty,26221
debt,26187
menjaga,26023
merkel,26018
bar,26015
mitch,25990
32,25985
funny,25977
model,25971
watching,25911
mrna,25839
expect,25740
studies,25676
senator,25622
agar,25542
passed,25523
più,25483
page,25455
walter,25446
41,25415
percent,25335
campus,25316
john,25241
approves,25181
reed,25175
atau,25165
organization,25144
presssec,25140
yan,25128
33,25110
drugs,25098
lose,25025
paris,25024
3m,25018
kamala,24998
beat,24976
menjadi,24879
chris,24846
speed,24842
agora,24819
130,24746
mondaymotivation,24734
direct,24705
amitshah,24694
role,24648
worried,24633
في,24616
earlier,24500
rule,24439
league,24432
210,24393
hicks,24376
so,24358
gave,24251
रत,24229
figures,24221
hiv,24158
warga,24148
itu,24102
postpone,24062
complications,24058
nature,23961
perú,23878
region,23860
classes,23778
beban,23760
caught,23739
kes,23615
pubs,23565
corner,23553
scientist,23541
debates2020,23528
semoga,23515
stats,23410
ekonomi,23369
capital,23311
transition,23269
cdcgov,23254
jairbolsonaro,23253
communist,23233
kushner,23201
wir,23194
captain,23122
meu,23120
serentak,23107
cuenta,23104
ciudad,23055
donaldjtrumpjr,22993
melbourne,22950
hingga,22879
chloroquine,22862
appointment,22822
sem,22791
novembre,22785
disney,22677
download,22662
lang,22629
activos,22628
peor,22626
pemulihan,22578
harus,22533
omg,22374
jiwakemanusiaanpolri,22296
ramadan,22260
rip,22258
ad,22242
miles,22169
menerapkan,22109
marzo,22070
convention,22042
android,21982
cifras,21950
democrat,21857
quem,21832
as,21829
dumb,21768
250,21764
disappear,21758
murder,21744
djokovic,21595
ministry,21579
panel,21579
track,21482
recoveries,21445
authorization,21435
combat,21417
indoor,21399
baksospolripeduli,21397
4th,21362
completely,21322
síntomas,21316
bagi,21305
yung,21291
atlas,21277
gelar,21266
propaganda,21262
penanggulangan,21233
rusa,21227
himbauan,21185
feu,21060
evil,21040
guna,20991
trumpcovid,20970
vietnam,20932
markets,20883
rather,20855
partisipasi,20728
ho,20682
masa,20669
saja,20660
lagos,20555
nobody,20554
couvre,20533
mink,20499
older,20488
tells,20487
andil,20471
donaldtrump,20468
comfortable,20465
vice,20355
statement,20350
ด19,20336
worker,20295
700,20289
enfermedad,20271
insurance,20205
quand,20164
nancy,20136
complete,20094
anak,20010
pozitif,19985
coronalockdown,19981
signed,19944
adults,19897
double,19861
hundreds,19859
ebola,19847
houston,19803
superspreader,19691
curve,19689
180,19603
trace,19482
robert,19454
masih,19446
pelaksanaan,19425
drop,19412
father,19365
gilead,19363
levels,19294
speech,19290
idiots,19283
appointments,19239
34,19230
melakukan,19225
dei,19209
lockdown2020,19104
prayers,19049
aide,19036
covid20,19013
smartnews,19007
hits,18996
ta,18980
lakh,18960
