index,name,full_name,place_type,count
16b5bcacc8a41802,Halfway House,"Halfway House, PA",city,1
07d9cd3ad1880004,Oregon Dairy Corn Maze,Oregon Dairy Corn Maze,poi,1
07d9c9be90888005,Vehicle Emissions Inspection Program (VEIP) Station,Vehicle Emissions Inspection Program (VEIP) Station,poi,1
010e211a79d32714,Sunderland,"Sunderland, MD",city,1
008604e71e9edebf,New Franklin,"New Franklin, OH",city,1
00e1af8f13144859,Mendon,"Mendon, NY",city,1
07d9f7672e887000,Gate 11,Gate 11,poi,1
36ec843b0574ad71,New Holstein,"New Holstein, WI",city,1
14336c89ea33aa2f,McAlmont,"McAlmont, AR",city,1
10fb61fdb5545000,Hilton,Hilton,poi,1
07d9f62258885001,Rolling Ridge Elmentary,Rolling Ridge Elmentary,poi,1
07d9e06088c83002,Northern Cambria Football Field,Northern Cambria Football Field,poi,1
07d9f7513d884001,Fayetteville Skate Park,Fayetteville Skate Park,poi,1
10c17754ef17d001,St. Louis Regional Chamber,St. Louis Regional Chamber,poi,1
349dd0909df9693c,Tuckahoe,"Tuckahoe, NY",city,1
4d6cc5b62f861da2,Sabana Abajo,"Sabana Abajo, Puerto Rico",city,1
07d9c93707881002,San Fernando Cathedral,San Fernando Cathedral,poi,1
c6210bf902b4b31f,Kachina Village,"Kachina Village, AZ",city,1
0fc35c1de5547001,New Unto Others,New Unto Others,poi,1
57255f37f9f45eaf,Dupont,"Dupont, PA",city,1
07d9e3864e481000,Adrienne Arsht Center for the Performing Arts,Adrienne Arsht Center for the Performing Arts,poi,1
0fc39ff99a14d001,Planet Fitness,Planet Fitness,poi,1
55a0058817d827cd,Tangelo Park,"Tangelo Park, FL",city,1
07d9d356d2c85000,Lee College,Lee College,poi,1
00ecf62b3b9b996c,Shelbyville,"Shelbyville, IL",city,1
a6ca2bcd1dbfdcd3,Salem,"Salem, NJ",city,1
07d9ca8d49480000,Swain High,Swain High,poi,1
0fd4c6525154d001,Life Time Athletic,Life Time Athletic,poi,1
01e09e8c5883fd12,Canton,"Canton, CT",city,1
07d9d7e46f080001,Clermont,Clermont,poi,1
07d9f378c7884000,Walgreens,Walgreens,poi,1
07d9e3c33dc87003,Calverton National Cemetery,Calverton National Cemetery,poi,1
0fc273105ad5e001,Bridge to Miller Park,Bridge to Miller Park,poi,1
0fc2a2175d94f001,Southwestern High School,Southwestern High School,poi,1
1068cb12c9145001,Jumoke Academy,Jumoke Academy,poi,1
11db73ea24d4e000,United Methodist Church,United Methodist Church,poi,1
07d9ddc738487005,"Alamo, Tx","Alamo, Tx",poi,1
a3f4b8d41797d915,Burns,"Burns, OR",city,1
07d9d8ecd8480000,Division Street Farmers Market,Division Street Farmers Market,poi,1
0ca394881c569000,Pacifica Senior Living Hemet,Pacifica Senior Living Hemet,poi,1
07d9ca478ac83000,Jupiter High School,Jupiter High School,poi,1
07d9d49143480002,Gate 6,Gate 6,poi,1
0fc2f1ef2f15b000,Walgreens,Walgreens,poi,1
07d9e3b659c85003,Takiff Center,Takiff Center,poi,1
07d9d2e6aac87001,Rocky Mount - Wilson Regional Airport,Rocky Mount - Wilson Regional Airport,poi,1
15d2b24f6471e501,Dillon,"Dillon, CO",city,1
0fc2f40aad541000,Adams Morgan Farmers Market,Adams Morgan Farmers Market,poi,1
07d9c9850ec85000,University of North Texas,University of North Texas,poi,1
07d9eca70bc80000,Lucas State Office Building,Lucas State Office Building,poi,1
07d9e4720cc87002,Glacier National,Glacier National,poi,1
0fc344c9c455b000,CVS pharmacy,CVS pharmacy,poi,1
0fc29adbf4546001,Terminal 2,Terminal 2,poi,1
30de3b6973cc6472,East Potomac Park,"East Potomac Park, Washington",neighborhood,1
00ff9884664d8fe3,Midway,"Midway, PA",city,1
11115a08db547000,Methodist Hospital,Methodist Hospital,poi,1
01f8c7d548366dfc,Castle Rock,"Castle Rock, WA",city,1
4097543f78ad0ce5,Spring Valley,"Spring Valley, KY",city,1
0fc32bcc7f95e000,Tweetsie Trail - JC Trail Head,Tweetsie Trail - JC Trail Head,poi,1
8db771acfc0357e4,Mifflin,"Mifflin, PA",city,1
105c97239fd41000,Costco,Costco,poi,1
07d9ea7493c80001,FBCH - Family Medicine,FBCH - Family Medicine,poi,1
07d9e3dfbb083000,Rays Meadow Park,Rays Meadow Park,poi,1
10f74a03a5d7e000,Trump National Golf Club Washington D.C.,Trump National Golf Club Washington D.C.,poi,1
07d9db019c083001,Minnesota Correctional Facility - Stillwater,Minnesota Correctional Facility - Stillwater,poi,1
cf0c7957349c996b,Malvern,"Malvern, OH",city,1
4441f90c264283c1,Portage,"Portage, WI",city,1
00fe69ab1194f8ed,Merritt Park,"Merritt Park, NY",city,1
010cf9242e615232,Heritage Lake,"Heritage Lake, IN",city,1
10f7d0645857e000,Vitalant,Vitalant,poi,1
555910f60191418f,Plainfield,"Plainfield, CT",city,1
07d9dbd5d0888003,Journal Square,Journal Square,poi,1
07d9dc2fec882001,Bazemore-Hyder Stadium,Bazemore-Hyder Stadium,poi,1
07d9cb9427084003,Royal Esquire Club,Royal Esquire Club,poi,1
